temperature,S_T,H_T,G
0,,-2072.30,-2072.30
100,38.1709,-1378.60,-5195.69
200,42.9929,-683.00,-9281.58
300,45.8142,12.90,-13731.36
400,47.8199,710.10,-18417.86
500,49.3874,1412.80,-23280.90
600,50.6871,2125.80,-28286.46
700,51.8079,2853.00,-33412.53
800,52.8000,3596.20,-38643.80
900,53.6941,4355.50,-43969.19
1000,54.5098,5129.80,-49380.00
1100,55.2609,5917.90,-54869.09
1200,55.9572,6718.30,-60430.34
1300,56.6064,7529.50,-66058.82
1400,57.2145,8350.10,-71750.20
1500,57.7864,9179.00,-77500.60
1600,58.3260,10015.10,-83306.50
1700,58.8367,10857.60,-89164.79
1800,59.3215,11705.70,-95073.00
1900,59.7827,12558.80,-101028.33
2000,60.2225,13416.20,-107028.80
2100,60.6427,14277.60,-113072.07
2200,61.0451,15142.40,-119156.82
2300,61.4309,16010.50,-125280.57
2400,61.8016,16881.30,-131442.54
2500,62.1581,17754.80,-137640.45
2600,62.5016,18630.60,-143873.56
2700,62.8330,19508.60,-150140.50
2800,63.1530,20388.60,-156439.80
2900,63.4624,21270.40,-162770.56
3000,63.7619,22153.90,-169131.80
3100,64.0521,23038.90,-175522.61
3200,64.3336,23925.40,-181942.12
3300,64.6068,24813.30,-188389.14
3400,64.8722,25702.50,-194862.98
3500,65.1303,26592.80,-201363.25
3600,65.3815,27484.30,-207889.10
3700,65.6260,28376.90,-214439.30
3800,65.8643,29270.50,-221013.84
3900,66.0967,30165.10,-227612.03
4000,66.3234,31060.60,-234233.00
4100,66.5448,31956.90,-240876.78
4200,66.7610,32854.10,-247542.10
4300,66.9723,33752.20,-254228.69
4400,67.1789,34651.00,-260936.16
4500,67.3811,35550.60,-267664.35
4600,67.5790,36450.90,-274412.50
4700,67.7727,37351.90,-281179.79
4800,67.9626,38253.70,-287966.78
4900,68.1486,39156.10,-294772.04
5000,68.3311,40059.10,-301596.40
5100,68.5101,40962.90,-308438.61
5200,68.6857,41867.20,-315298.44
5300,68.8581,42772.30,-322175.63
5400,69.0274,43678.00,-329069.96
5500,69.1937,44584.30,-335981.05
5600,69.3571,45491.20,-342908.56
5700,69.5177,46398.90,-349851.99
5800,69.6757,47307.10,-356811.96
5900,69.8311,48216.10,-363787.39
6000,69.9840,49125.70,-370778.30